id,timestamp,inputDataHash,processingSteps,decisionOutcome,featureVector,contextMetadata,decision,hasProcessingSteps,inputLength,outputLength,processingStepsCount,processingTime,riskScore
audit_1763786944334_mulq63prz,2025-11-22T04:49:04.334Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,2,0
audit_1763786944284_qozzlenq0,2025-11-22T04:49:04.284Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,3,0
audit_1763786944276_v8jrzgogk,2025-11-22T04:49:04.276Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,2,0
audit_1763786944257_ljfc0j9cd,2025-11-22T04:49:04.257Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,7,0
audit_1763786944236_9pgwtk2bf,2025-11-22T04:49:04.236Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,6,0
audit_1763786944214_p1hqt9o9w,2025-11-22T04:49:04.214Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,2,0
audit_1763786944192_za40snx6h,2025-11-22T04:49:04.192Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,3,0
audit_1763786944182_uwnlv98oh,2025-11-22T04:49:04.182Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,3,0
audit_1763786944172_4u329cag1,2025-11-22T04:49:04.172Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,2,0
audit_1763786944158_y49zdn5mb,2025-11-22T04:49:04.158Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,5,0
audit_1763786944139_r89ktaihz,2025-11-22T04:49:04.139Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,3,0
audit_1763786944123_gplt2b9xj,2025-11-22T04:49:04.123Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,6,0
audit_1763786944109_qtrfvithc,2025-11-22T04:49:04.109Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,3,0
audit_1763786944094_ijlwz13fs,2025-11-22T04:49:04.094Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,3,0
